episode,env_return,total_return
413,7.0,57.4413295038295
414,7.0,63.020501165501166
415,7.0,61.81956056198701
416,7.0,64.525211840533
417,7.0,67.5139169164169
418,7.0,62.016290376290414
419,7.0,57.10527974991982
420,7.0,55.81976345682399
421,7.0,58.05295377745593
422,7.0,63.06800865800874
423,7.0,60.22974483849482
424,7.0,59.77936188811188
425,7.0,63.30893856143854
426,7.0,62.87107155099801
427,7.0,64.24347319347318
428,7.0,62.373364968364925
429,7.0,60.30632950382946
430,7.0,59.41973426083713
431,7.0,63.38716655248769
432,7.0,64.76825757575763
433,7.0,67.15561272061268
434,7.0,64.4582350982351
435,7.0,60.277125790875836
436,7.0,60.364819347319354
437,7.0,61.59315601065599
438,7.0,55.61604871779406
439,7.0,64.11669868701985
440,7.0,56.088492879669374
441,7.0,60.52214639675623
442,7.0,60.30665382347265
443,7.0,55.374216942395584
444,7.0,62.649957896850275
445,7.0,62.19212549705197
446,7.0,54.70563573681225
447,7.0,61.31077172827174
448,7.0,59.67505328005323
449,7.0,57.016511619185735
450,7.0,61.369038045288015
451,7.0,61.959491972166056
452,7.0,62.586736180486184
453,7.0,56.73648971126908
454,7.0,60.91118423243421
455,7.0,58.51324259074265
456,7.0,57.48319305694306
457,7.0,51.80821047760288
458,7.0,60.182644530392174
459,7.0,53.24735588456951
460,7.0,53.588227942078525
461,7.0,60.41420246420251
462,7.0,61.56554903429905
463,7.0,55.95625496407625
464,7.0,59.69541521558932
465,7.0,57.394360761787304
466,7.0,55.82891504908925
467,7.0,57.194372710622716
468,7.0,59.27828255078256
469,7.0,57.39362137862138
470,7.0,56.35325436818083
471,7.0,52.16123344148112
472,7.0,64.36361804861808
473,7.0,63.19311729936731
474,7.0,60.39710690464912
475,7.0,57.94565934065936
476,7.0,58.975042457542486
477,7.0,62.198279220779206
478,7.0,61.80601107226107
479,7.0,56.79417136784786
480,7.0,59.1257338516989
481,7.0,50.16782378393583
482,7.0,55.682171669919356
483,7.0,55.79137061983421
484,7.0,54.206617255293736
485,7.0,61.00512903762905
486,7.0,55.0528700156912
487,7.0,56.23187562437565
488,7.0,63.00669497169494
489,7.0,64.15906177156178
490,7.0,53.12480278880046
491,7.0,55.71267598113957
492,7.0,54.18631451881452
493,7.0,45.716380560874434
494,7.0,55.875858816106536
495,7.0,56.74427085169734
496,7.0,63.807535797535806
497,7.0,65.24610722610721
498,7.0,53.954804992479175
499,7.0,57.62961824939763
500,7.0,55.97520958788377
501,7.0,61.05410089910085
502,7.0,59.26164514407163
503,7.0,49.62701329243509
504,7.0,55.9520208957709
505,7.0,59.57481185481184
506,7.0,62.06094917337566
507,7.0,63.847621545121534
508,7.0,60.468866519187685
509,7.0,64.99963869463875
510,7.0,63.04334748584747
511,7.0,54.87060906585681
512,7.0,55.1076594002645
513,7.0,58.90759145572436
514,7.0,49.37681701229029
515,7.0,52.40605442287332
516,7.0,57.06268535386183
517,7.0,61.20165750915746
518,7.0,54.80691154433806
519,7.0,57.28678916671561
520,7.0,52.88532758907759
521,7.0,57.024190068187785
522,7.0,54.458890104993046
523,7.0,59.15561475289414
524,7.0,58.88337579087579
525,7.0,59.41965864372986
526,7.0,60.07476856476861
527,7.0,56.67649283245225
528,7.0,57.70066570684224
529,7.0,58.40755744255744
530,7.0,50.84030524557997
531,7.0,58.531786963036964
532,7.0,56.87363886113882
533,7.0,56.342250372176835
534,7.0,58.41487111965968
535,7.0,59.100672489275425
536,7.0,59.91133033633034
537,7.0,58.051940620009496
538,7.0,50.71348637695143
539,7.0,50.643792951182135
540,7.0,61.21855656598301
541,7.0,63.1777480852481
542,7.0,60.5618757468022
543,7.0,60.61430652680655
544,7.0,55.89382070071306
545,7.0,51.58738244598541
546,7.0,55.68062405087176
547,7.0,56.731492673992676
548,7.0,56.12536630036633
549,7.0,50.39874992010057
550,7.0,52.172105517031994
551,7.0,58.245947385947396
552,7.0,62.58868393861047
553,7.0,61.74853959121368
554,7.0,61.127968820395274
555,7.0,60.895346442773004
556,7.0,52.82639664257311
557,7.0,57.07526444144095
558,7.0,54.729406964294604
559,7.0,47.10022707304586
560,7.0,56.60100566100567
561,7.0,55.759317024564744
562,7.0,64.15339202464202
563,7.0,62.59019825762476
564,7.0,56.33026512058627
565,7.0,58.600750499500535
566,7.0,59.175986219662626
567,7.0,59.65811034553685
568,7.0,58.30294147029447
569,7.0,55.79877019394434
570,7.0,57.039668077021005
571,7.0,56.979666999666996
572,7.0,59.51070426477544
573,7.0,64.35510406260406
574,7.0,61.30690392940396
575,7.0,50.98591971109387
576,7.0,58.420028305028396
577,7.0,63.866778221778254
578,7.0,60.14515068265067
579,7.0,58.93309062841183
580,7.0,53.84999816360112
581,7.0,62.56791678909321
582,7.0,55.30685669078086
583,7.0,55.826636931662215
584,7.0,46.27806040277081
585,7.0,48.57826724101494
586,7.0,55.467594488844504
587,7.0,63.35990592740595
588,7.0,52.349333135904345
589,7.0,54.46270226677347
590,7.0,57.103275058275116
591,7.0,58.42502497502495
592,7.0,50.77566442716208
593,7.0,61.86946969696967
594,7.0,58.92059648684651
595,7.0,51.319534245424286
596,7.0,59.4426639717351
597,7.0,53.974377082736886
598,7.0,54.8110056610057
599,7.0,56.897647860395544
600,7.0,49.02210619617745
601,7.0,55.373018648018686
602,7.0,59.01998418248419
603,7.0,56.616063103563086
604,7.0,59.212549950049976
605,7.0,56.43345519244963
606,7.0,51.931551487727965
607,7.0,50.79148738516392
608,7.0,57.2937014211279
609,7.0,55.35271574014224
610,7.0,56.59920621045623
611,7.0,53.41492145109795
612,7.0,57.499661294587796
613,7.0,60.48739938982586
614,7.0,60.374998334998246
615,7.0,55.10848093083385
616,7.0,47.849678960100796
617,7.0,53.80760114885118
618,7.0,58.10864010989009
619,7.0,62.716526096452554
620,7.0,62.423560544202935
621,7.0,51.5914184044183
622,7.0,58.54821262071266
623,7.0,60.63876415251427
624,7.0,58.4033508158509
625,7.0,58.255331702611
626,7.0,57.5078833176627
627,7.0,50.667471523574434
628,7.0,54.76921573524511
629,7.0,51.37164549846441
630,7.0,38.39000886833278
631,7.0,54.5559266958532
632,7.0,55.473693481441146
633,7.0,53.32959731013595
634,7.0,55.8630256933469
635,7.0,53.159572865215296
636,7.0,54.568963365066296
